"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ZenSkills_Item_SkillBook_Desc","A book containing random information on how to improve one of my skills.","A book containing random information on how to improve one of my skills.","Kniha obsahující náhodné informace o zlepšení jedné z tvých dovedností.","Ein Buch mit zufälligen Informationen, wie man eine seiner Fertigkeiten verbessert.","Книга со случайной информацией о том, как улучшить один из навыков.","Księga zawierająca losowe informacje o tym, jak poprawić jedną z moich umiejętności.","Egy könyv, amely véletlenszerű információkat tartalmaz arról, hogyan javíts egy képességeden.","Un libro con informazioni casuali su come migliorare una delle mie abilità.","Un libro con información aleatoria sobre cómo mejorar una de mis habilidades.","Un livre contenant des informations aléatoires pour améliorer une de mes compétences.","一本包含随机信息的书，教你如何提升某项技能。","自分のスキルの1つを向上させる方法についてのランダムな情報が書かれた本。","Um livro com informações aleatórias sobre como melhorar uma das minhas habilidades.","一本包含随机信息的书，教你如何提升某项技能。",
"STR_ZenSkills_Item_SurvivalBook","Survival Skill Book","Survival Skill Book","Kniha přežití","Überlebensbuch","Книга выживания","Księga przetrwania","Túlélési könyv","Libro di sopravvivenza","Libro de supervivencia","Livre de survie","生存技能书","サバイバルスキルブック","Livro de sobrevivência","生存技能书",
"STR_ZenSkills_Item_SurvivalBook_Desc","A book containing information on how to be better at survival skills.","A book containing information on how to be better at survival skills.","Kniha obsahující informace o tom, jak být lepší v dovednostech přežití.","Ein Buch mit Informationen, wie man besser im Überleben wird.","Книга с информацией о том, как лучше выживать.","Księga zawierająca informacje o tym, jak lepiej radzić sobie w umiejętnościach przetrwania.","Egy könyv, amely információkat tartalmaz a túlélési képességek javításáról.","Un libro con informazioni su come migliorare le abilità di sopravvivenza.","Un libro con información sobre cómo mejorar en las habilidades de supervivencia.","Un livre contenant des informations pour améliorer vos compétences de survie.","一本包含生存技能提升方法的书。","生存スキルを高める方法について書かれた本。","Um livro com informações sobre como melhorar habilidades de sobrevivência.","一本包含生存技能提升方法的书。",
"STR_ZenSkills_Item_CraftingBook","Crafting Skill Book","Crafting Skill Book","Kniha řemesel","Handwerksbuch","Книга ремесел","Księga rzemiosła","Barkácskönyv","Libro di artigianato","Libro de artesanía","Livre d’artisanat","制作技能书","クラフティングスキルブック","Livro de artesanato","制作技能书",
"STR_ZenSkills_Item_CraftingBook_Desc","A book containing information on how to be better at crafting skills.","A book containing information on how to be better at crafting skills.","Kniha obsahující informace o tom, jak být lepší v řemeslných dovednostech.","Ein Buch mit Informationen, wie man besser im Handwerk wird.","Книга с информацией о том, как улучшить навыки ремесла.","Księga zawierająca informacje o tym, jak być lepszym w rzemiośle.","Egy könyv, amely információkat tartalmaz a barkácsolási képességek javításáról.","Un libro con informazioni su come migliorare le abilità artigianali.","Un libro con información sobre cómo mejorar las habilidades de artesanía.","Un livre contenant des informations pour améliorer vos compétences artisanales.","一本包含制作技能提升方法的书。","クラフトスキルを高める方法について書かれた本。","Um livro com informações sobre como melhorar habilidades de artesanato.","一本包含制作技能提升方法的书。",
"STR_ZenSkills_Item_HuntingBook","Hunting Skill Book","Hunting Skill Book","Kniha lovu","Jagdhandbuch","Книга охоты","Księga łowiectwa","Vadászkönyv","Libro di caccia","Libro de caza","Livre de chasse","狩猎技能书","ハンティングスキルブック","Livro de caça","狩猎技能书",
"STR_ZenSkills_Item_HuntingBook_Desc","A book containing information on how to be better at hunting skills.","A book containing information on how to be better at hunting skills.","Kniha obsahující informace o tom, jak být lepší v loveckých dovednostech.","Ein Buch mit Informationen, wie man besser jagen kann.","Книга с информацией о том, как улучшить охотничьи навыки.","Księga zawierająca informacje o tym, jak być lepszym w umiejętnościach łowieckich.","Egy könyv, amely információkat tartalmaz a vadászati képességek javításáról.","Un libro con informazioni su come migliorare le abilità di caccia.","Un libro con información sobre cómo mejorar las habilidades de caza.","Un livre contenant des informations pour améliorer vos compétences de chasse.","一本包含狩猎技能提升方法的书。","ハンティングスキルを高める方法について書かれた本。","Um livro com informações sobre como melhorar habilidades de caça.","一本包含狩猎技能提升方法的书。",
"STR_ZenSkills_Item_GatheringBook","Gathering Skill Book","Gathering Skill Book","Kniha sběru","Sammelbuch","Книга собирательства","Księga zbieractwa","Gyűjtögető könyv","Libro di raccolta","Libro de recolección","Livre de collecte","采集技能书","ギャザリングスキルブック","Livro de coleta","采集技能书",
"STR_ZenSkills_Item_GatheringBook_Desc","A book containing information on how to be better at gathering skills.","A book containing information on how to be better at gathering skills.","Kniha obsahující informace o tom, jak být lepší ve sběratelských dovednostech.","Ein Buch mit Informationen, wie man besser im Sammeln wird.","Книга с информацией о том, как улучшить навыки собирательства.","Księga zawierająca informacje o tym, jak być lepszym w zbieractwie.","Egy könyv, amely információkat tartalmaz a gyűjtögetési képességek javításáról.","Un libro con informazioni su come migliorare le abilità di raccolta.","Un libro con información sobre cómo mejorar las habilidades de recolección.","Un livre contenant des informations pour améliorer vos compétences de collecte.","一本包含采集技能提升方法的书。","ギャザリングスキルを高める方法について書かれた本。","Um livro com informações sobre como melhorar habilidades de coleta.","一本包含采集技能提升方法的书。",
"STR_ZenSkills_Item_ExpBooster","EXP Booster","EXP Booster","Posilovač EXP","EXP-Verstärker","Усилитель ОП","Wzmacniacz EXP","EXP Növelő","Potenziante EXP","Potenciador de EXP","Boost EXP","经验增强剂","EXPブースター","Impulsionador de EXP","经验增强剂",
"STR_ZenSkills_Item_ExpBooster_Desc","This injector heightens my focus. I'll gain %1 experience for %2 minutes in any skills I practice. These injectors can be stacked so that if multiple injectors are used, the boost lasts even longer.","This injector heightens my focus. I'll gain %1 experience for %2 minutes in any skills I practice. These injectors can be stacked so that if multiple injectors are used, the boost lasts even longer.","Tato injekce zvýší mou koncentraci. Získám o %1 více zkušeností po dobu %2 minut ve všech dovednostech, které procvičuji. Injekce lze skládat, takže při použití více vydrží posílení déle.","Diese Injektion schärft meinen Fokus. Ich erhalte %1 mehr Erfahrung für %2 Minuten in allen geübten Fertigkeiten. Mehrere Injektionen stapeln sich und verlängern die Wirkungsdauer.","Этот инъектор усиливает мою концентрацию. Я получаю на %1 больше опыта в течение %2 минут в любых навыках, которые практикую. Инъекторы можно складывать — эффект продлевается.","Ten zastrzyk zwiększa moją koncentrację. Zyskam %1 doświadczenia przez %2 minut we wszystkich umiejętnościach. Można używać wielu zastrzyków, by efekt trwał dłużej.","Ez az injektor fokozza a koncentrációmat. %1 több tapasztalatot szerzek %2 percig bármely képességben. Több injektor hatása összeadódik, így hosszabb ideig tart.","Questo iniettore aumenta la mia concentrazione. Guadagnerò %1 esperienza per %2 minuti in qualsiasi abilità pratico. Più iniettori si possono accumulare per una durata maggiore.","Este inyector agudiza mi concentración. Ganaré %1 experiencia durante %2 minutos en cualquier habilidad que practique. Pueden acumularse y durar más si se usan varios.","Cet injecteur aiguise ma concentration. Je gagnerai %1 d’expérience pendant %2 minutes dans toutes les compétences pratiquées. Les injecteurs peuvent s’empiler pour prolonger l’effet.","这个注射剂提升了我的专注力。在接下来的%2分钟里，我在练习任何技能时会获得%1的经验。这些注射剂可以叠加，使用多个时增益持续更久。","この注射で集中力が高まる。%2分間、練習するスキルのEXPを%1得られる。複数使用すれば効果時間がさらに延びる。","Este injetor aumenta meu foco. Ganharei %1 de experiência por %2 minutos em qualquer habilidade praticada. Vários injetores podem ser empilhados para prolongar o efeito.","这个注射剂提升了我的专注力。在接下来的%2分钟里，我在练习任何技能时会获得%1的经验。这些注射剂可以叠加，使用多个时增益持续更久。",
"STR_ZenSkills_Item_PerkResetter","Perk Resetter","Perk Resetter","Resetovač perků","Perk-Resetter","Сброс перков","Reset perków","Perk Visszaállító","Resetta perk","Reiniciador de perks","Réinitialiseur de perks","特权重置器","パークリセッター","Redefinidor de perks","特权重置器",
"STR_ZenSkills_Item_PerkResetter_Desc","Injecting this will wipe my memory of all my currently unlocked skill perks. The label says not to worry - I'll still keep all of my skill experience.","Injecting this will wipe my memory of all my currently unlocked skill perks. The label says not to worry - I'll still keep all of my skill experience.","Injekce mi vymaže paměť všech aktuálně odemčených perků. Štítek říká, že se nemusím bát – zkušenosti mi zůstanou.","Diese Injektion löscht mein Gedächtnis an alle derzeit freigeschalteten Perks. Laut Etikett keine Sorge – meine Erfahrung bleibt.","Эта инъекция сотрёт память обо всех открытых перках. На этикетке сказано: «Не волнуйтесь — опыт сохранится».","Ten zastrzyk wymaże moją pamięć o wszystkich odblokowanych perkach. Etykieta mówi, że nie muszę się martwić – doświadczenie pozostanie.","Ez az injekció törli az összes feloldott perkem emlékét. A címke szerint nem kell aggódni – a tapasztalatom megmarad.","Questa iniezione cancellerà la memoria di tutti i perk sbloccati. L’etichetta dice di non preoccuparsi – l’esperienza rimane.","Esta inyección borrará la memoria de todos mis perks desbloqueados. La etiqueta dice que no me preocupe – la experiencia se mantiene.","Cette injection effacera la mémoire de tous mes perks débloqués. L’étiquette dit de ne pas s’inquiéter – l’expérience reste.","注射后会抹去我已解锁的所有特权记忆。标签上写着不用担心——我的技能经验会保留。","これを注射すると、解除したパークの記憶が消える。だがラベルには心配無用とある – 経験値はそのままだ。","Esta injeção apagará a memória de todos os perks desbloqueados. O rótulo diz para não se preocupar – a experiência permanece.","注射后会抹去我已解锁的所有特权记忆。标签上写着不用担心——我的技能经验会保留。",
"STR_ZenSkills_GUI_Refresh","Refresh","Refresh","Obnovit","Aktualisieren","Обновить","Odśwież","Frissítés","Aggiorna","Actualizar","Rafraîchir","刷新","更新","Atualizar","刷新",
"STR_ZenSkills_GUI_Wait","Wait...","Wait...","Počkej...","Warte...","Подожди...","Czekaj...","Várj...","Aspetta...","Espera...","Attendez...","请稍候...","待機中...","Aguarde...","请稍候...",
"STR_ZenSkills_GUI_TopPlayers","Only the top %1 players are listed for each skill.","Only the top %1 players are listed for each skill.","Pouze nejlepších %1 hráčů je uvedeno pro každou dovednost.","Nur die besten %1 Spieler werden für jede Fertigkeit aufgelistet.","Только топ-%1 игроков указаны для каждого навыка.","Tylko %1 najlepszych graczy jest wymienionych dla każdej umiejętności.","Csak a legjobb %1 játékos van felsorolva minden képességnél.","Solo i migliori %1 giocatori sono elencati per ogni abilità.","Solo los %1 mejores jugadores aparecen listados para cada habilidad.","Seuls les %1 meilleurs joueurs sont listés pour chaque compétence.","每项技能仅列出前%1名玩家。","各スキルごとに上位%1人のプレイヤーのみが表示される。","Apenas os %1 melhores jogadores são listados para cada habilidade.","每项技能仅列出前%1名玩家。",
"STR_ZenSkills_GUI_PressKeySpend","Press %1 key to spend points.","Press %1 key to spend points.","Stiskni klávesu %1 pro utracení bodů.","Drücke die %1-Taste, um Punkte auszugeben.","Нажмите клавишу %1, чтобы потратить очки.","Naciśnij klawisz %1, aby wydać punkty.","Nyomd meg a(z) %1 gombot a pontok elköltéséhez.","Premi il tasto %1 per spendere punti.","Pulsa la tecla %1 para gastar puntos.","Appuyez sur la touche %1 pour dépenser des points.","按下%1键来花费点数。","%1キーを押してポイントを使う。","Pressione a tecla %1 para gastar pontos.","按下%1键来花费点数。",
"STR_ZenSkills_GUI_OpenSkillsInput","Open Skill menu","Open Skill menu","Otevřít menu dovedností","Fertigkeitenmenü öffnen","Открыть меню навыков","Otwórz menu umiejętności","Képességmenü megnyitása","Apri il menu delle abilità","Abrir menú de habilidades","Ouvrir le menu des compétences","打开技能菜单","スキルメニューを開く","Abrir menu de habilidades","打开技能菜单",
"STR_ZenSkills_GUI_UnsetKey","unset key","unset key","zrušit klávesu","Taste aufheben","сбросить клавишу","odwiąż klawisz","gomb törlése","annulla tasto","desasignar tecla","dissocier la touche","取消按键","キー解除","desvincular tecla","取消按键",
"STR_ZenSkills_Title","ZENARCHIST'S SKILLS MOD","ZENARCHIST'S SKILLS MOD","Zenarchistův mod dovedností","Zenarchists Skill-Mod","Мод навыков от Zenarchist","Mod umiejętności Zenarchista","Zenarchist képességmodja","Mod abilità di Zenarchist","Mod de habilidades de Zenarchist","Mod de compétences de Zenarchist","ZENARCHIST 的技能模組","ZENARCHIST のスキルMOD","Mod de habilidades de Zenarchist","ZENARCHIST 的技能模组",
"STR_ZenSkills_Welcome","Welcome, %1.","Welcome, %1.","Vítej, %1.","Willkommen, %1.","Добро пожаловать, %1.","Witaj, %1.","Üdv, %1.","Benvenuto, %1.","Bienvenido, %1.","Bienvenue, %1.","歡迎，%1。","ようこそ、%1。","Bem-vindo, %1.","欢迎，%1。",

"STR_ZenSkills_GUI_ModDescription","This skills mod was created by Zenarchist (www.zenarchist.com)

~
It adds 40 skill perks to the game. These perks are designed to give minimal advantage in PvP, but may give you the extra edge in survival.

~
You gain experience by playing the game normally, but you might also find skill books and EXP boost injectors if the admin has set these to spawn.

~
Some actions may award more EXP based on certain modifiers, such as bonus EXP based on distance from animals killed, or time taken to complete the action etc.

~
There are also nerfs which may apply to reduce EXP gained if you repeat the same action too many times in a row, or spend too much time in the same area. This is to discourage players grinding skills in the safety of their base.

~
If you leave %1 turned on you will be notified when new perks are available. Rebind your skill menu key if it conflicts with other mods. You'll want to check it regularly.

~
When you die you will lose %2 of your total EXP. If you have used your EXP on perks then some may be deactivated and the remainder of the EXP will be refunded.

~
Good luck survivors!","This skills mod was created by Zenarchist (www.zenarchist.com)

~
It adds 40 skill perks to the game. These perks are designed to give minimal advantage in PvP, but may give you the extra edge in survival.

~
You gain experience by playing the game normally, but you might also find skill books and EXP boost injectors if the admin has set these to spawn.

~
Some actions may award more EXP based on certain modifiers, such as bonus EXP based on distance from animals killed, or time taken to complete the action etc.

~
There are also nerfs which may apply to reduce EXP gained if you repeat the same action too many times in a row, or spend too much time in the same area. This is to discourage players grinding skills in the safety of their base.

~
If you leave %1 turned on you will be notified when new perks are available. Rebind your skill menu key if it conflicts with other mods. You'll want to check it regularly.

~
When you die you will lose %2 of your total EXP. If you have used your EXP on perks then some may be deactivated and the remainder of the EXP will be refunded.

~
Good luck survivors!","Tento mod dovedností vytvořil Zenarchist (www.zenarchist.com)

~
Přidává do hry 40 perků. Tyto perky dávají jen minimální výhodu v PvP, ale mohou ti pomoci při přežití.

~
Zkušenosti získáváš hraním normálně, ale můžeš najít i knihy dovedností a injektory EXP, pokud je admin nastavil ke spawnu.

~
Některé akce mohou dávat více EXP podle určitých podmínek, např. vzdálenost při zabití zvířete nebo čas potřebný k dokončení akce.

~
Mohou se také uplatnit postihy, pokud opakuješ stejnou akci příliš často za sebou nebo trávíš moc času na jednom místě. To má zabránit grindění dovedností v bezpečí základny.

~
Pokud necháš %1 zapnuté, budeš upozorněn, když budou k dispozici nové perky. Přenastav si klávesu menu dovedností, pokud koliduje s jinými mody. Vyplatí se kontrolovat pravidelně.

~
Když zemřeš, ztratíš %2 všech svých EXP. Pokud jsi použil EXP na perky, některé se deaktivují a zbytek EXP se vrátí.

~
Hodně štěstí, přeživší!","Dieses Skill-Mod wurde von Zenarchist (www.zenarchist.com) erstellt

~
Es fügt dem Spiel 40 Perks hinzu. Diese geben kaum Vorteile im PvP, können dir aber beim Überleben helfen.

~
Du erhältst Erfahrung, indem du normal spielst, kannst aber auch Skill-Bücher und EXP-Injektoren finden, wenn der Admin deren Spawn aktiviert hat.

~
Manche Aktionen geben mehr EXP basierend auf Modifikatoren, z. B. Distanz zu erlegten Tieren oder benötigter Zeit.

~
Es gibt auch Abschwächungen: Wiederholst du dieselbe Aktion zu oft oder bleibst zu lange am selben Ort, bekommst du weniger EXP. Das soll verhindern, dass Spieler Skills nur in der Basis grinden.

~
Lässt du %1 an, wirst du benachrichtigt, wenn neue Perks verfügbar sind. Belege deine Skillmenü-Taste neu, falls es Konflikte mit anderen Mods gibt. Prüfe sie regelmäßig.

~
Wenn du stirbst, verlierst du %2 deiner gesamten EXP. Bereits genutzte EXP für Perks können manche deaktivieren, der Rest wird zurückerstattet.

~
Viel Glück, Überlebende!","Этот мод навыков был создан Zenarchist (www.zenarchist.com)

~
Он добавляет в игру 40 перков. Эти перки дают минимальное преимущество в PvP, но могут дать дополнительное преимущество в выживании.

~
Ты получаешь опыт, просто играя, но также можешь найти книги навыков и инъекторы EXP, если админ настроил их спавн.

~
Некоторые действия дают больше EXP в зависимости от условий, например, бонус за дистанцию при убийстве животных или время выполнения действия.

~
Также есть штрафы: если слишком часто повторять одно и то же или находиться слишком долго в одном месте, количество EXP снижается. Это нужно, чтобы игроки не качали навыки только в базе.

~
Если оставить %1 включенным, ты получишь уведомление о новых перках. Переназначь клавишу меню навыков, если она конфликтует с другими модами. Проверяй это регулярно.

~
Когда умрёшь, потеряешь %2 всего EXP. Если EXP были потрачены на перки, некоторые отключатся, а остаток вернётся.

~
Удачи, выжившие!","Ten mod umiejętności został stworzony przez Zenarchist (www.zenarchist.com)

~
Dodaje 40 perków do gry. Dają one minimalną przewagę w PvP, ale mogą pomóc w przetrwaniu.

~
Doświadczenie zdobywasz, grając normalnie, ale możesz też znaleźć księgi umiejętności i zastrzyki EXP, jeśli admin ustawił ich spawn.

~
Niektóre akcje mogą dawać więcej EXP w zależności od modyfikatorów, np. odległość od zabitego zwierzęcia lub czas wykonania.

~
Są też kary – jeśli powtarzasz tę samą akcję zbyt często lub zbyt długo przebywasz w tym samym miejscu, EXP będzie mniejsze. To zniechęca do farmienia w bazie.

~
Jeśli zostawisz %1 włączone, otrzymasz powiadomienie o nowych perkach. Zmień klawisz menu umiejętności, jeśli koliduje z innymi modami. Sprawdzaj go regularnie.

~
Gdy zginiesz, stracisz %2 całego EXP. Jeśli EXP zostało wydane na perki, część się dezaktywuje, a reszta wróci.

~
Powodzenia, ocalali!","Ezt a képesség modot Zenarchist készítette (www.zenarchist.com)

~
40 perkot ad a játékhoz. Ezek alig adnak előnyt PvP-ben, de túlélésnél számíthatnak.

~
Tapasztalatot szerezhetsz normál játék közben, de találhatsz képességkönyveket és EXP injektorokat is, ha az admin engedélyezte spawnolásukat.

~
Bizonyos akciók több EXP-t adhatnak bizonyos feltételek alapján, pl. az állat lelövésének távolsága vagy a végrehajtás ideje.

~
Léteznek büntetések is: ha ugyanazt a cselekvést túl sokszor ismétled vagy túl sokáig maradsz egy helyen, kevesebb EXP-t kapsz. Ez akadályozza a bázison belüli farmolást.

~
Ha a %1 bekapcsolva marad, értesítést kapsz az új perkökről. Állítsd át a skill menü gombot, ha ütközik más modokkal. Rendszeresen ellenőrizd.

~
Ha meghalsz, elveszíted az összes EXP %2-át. Ha perkekre költötted, néhány deaktiválódik, a maradék visszajár.

~
Sok szerencsét, túlélők!","Questa mod di abilità è stata creata da Zenarchist (www.zenarchist.com)

~
Aggiunge 40 perk al gioco. Questi perk danno un vantaggio minimo nel PvP, ma possono darti un aiuto extra nella sopravvivenza.

~
Ottieni esperienza giocando normalmente, ma puoi anche trovare libri delle abilità e iniettori EXP se l’admin ne ha impostato lo spawn.

~
Alcune azioni possono dare più EXP in base a modificatori, come la distanza dagli animali uccisi o il tempo impiegato.

~
Ci sono anche penalità se ripeti troppe volte la stessa azione o resti troppo a lungo nella stessa zona. Serve a scoraggiare il farming sicuro in base.

~
Se lasci %1 attivo riceverai una notifica quando nuovi perk saranno disponibili. Reimposta il tasto del menu abilità se entra in conflitto con altri mod. Controllalo regolarmente.

~
Quando muori perderai %2 di tutta la tua EXP. Se hai usato EXP per i perk, alcuni verranno disattivati e l’esperienza restante sarà rimborsata.

~
Buona fortuna, sopravvissuti!","Este mod de habilidades fue creado por Zenarchist (www.zenarchist.com)

~
Agrega 40 perks al juego. Estos perks dan mínima ventaja en PvP, pero pueden darte un extra en supervivencia.

~
Ganas experiencia jugando normalmente, pero también puedes encontrar libros de habilidades e inyectores de EXP si el admin los ha configurado.

~
Algunas acciones otorgan más EXP según modificadores, como la distancia a los animales cazados o el tiempo de realización.

~
También hay penalizaciones si repites demasiado la misma acción o pasas mucho tiempo en el mismo lugar. Esto evita que los jugadores farmeen en la base.

~
Si dejas %1 activado recibirás notificación cuando haya nuevos perks. Reconfigura la tecla del menú de habilidades si entra en conflicto con otros mods. Revísalo seguido.

~
Cuando mueras perderás %2 de toda tu EXP. Si gastaste EXP en perks, algunos se desactivarán y el resto se reembolsará.

~
¡Buena suerte, supervivientes!","Ce mod de compétences a été créé par Zenarchist (www.zenarchist.com)

~
Il ajoute 40 perks au jeu. Ces perks offrent peu d’avantages en PvP, mais peuvent vous donner un atout en survie.

~
Vous gagnez de l’expérience en jouant normalement, mais vous pouvez aussi trouver des livres de compétences et des injecteurs d’EXP si l’admin les a configurés.

~
Certaines actions peuvent donner plus d’EXP en fonction de modificateurs, comme la distance aux animaux tués ou le temps d’exécution.

~
Des pénalités peuvent aussi s’appliquer si vous répétez trop la même action ou restez trop longtemps au même endroit. Cela décourage le farm de compétences en base.

~
Si vous laissez %1 activé, vous serez averti quand de nouveaux perks seront disponibles. Reconfigurez votre touche de menu si elle entre en conflit avec d’autres mods. Vérifiez-le régulièrement.

~
Quand vous mourrez, vous perdrez %2 de votre EXP totale. Si vous avez utilisé votre EXP sur des perks, certains seront désactivés et le reste sera remboursé.

~
Bonne chance, survivants!","这个技能模组由 Zenarchist 制作 (www.zenarchist.com)

~
它为游戏添加了40个技能特权。这些特权在PvP中几乎没有优势，但在生存中可能给你额外帮助。

~
你通过正常游戏获得经验，但也可能找到技能书和经验增强注射剂，如果管理员已设置它们刷新。

~
某些行动可能会因修正而获得更多经验，例如击杀动物的距离或完成动作所花的时间。

~
如果你重复同一行为太多次，或长时间停留在同一区域，可能会获得更少经验。这是为了防止玩家在基地刷技能。

~
如果你保持%1开启，你将在有新特权可用时收到通知。如果技能菜单键与其他模组冲突，请重新绑定。记得定期检查。

~
当你死亡时，你将失去%2的总经验。如果你已将经验用于特权，一些会被禁用，剩余经验会返还。

~
祝你好运，幸存者!","このスキルMODはZenarchistによって作られました (www.zenarchist.com)

~
ゲームに40個のスキルパークを追加します。PvPでの利点は最小限ですが、生存での助けにはなります。

~
通常のプレイで経験値を得られますが、スキルブックやEXPインジェクターを見つけることもあります（管理者がスポーンを設定している場合）。

~
一部の行動は条件により追加EXPを得られる場合があります。例: 動物を倒した距離や行動にかかった時間。

~
同じ行動を何度も繰り返したり、同じ場所に長く留まると、獲得EXPが減少するペナルティがあります。これは拠点でのスキル稼ぎを防ぐためです。

~
%1をオンにしておくと、新しいパークが利用可能になったとき通知されます。スキルメニューキーが他のMODと競合する場合は再設定してください。定期的に確認しましょう。

~
死亡すると総EXPの%2を失います。EXPをパークに使っていた場合、いくつかは無効化され、残りは返還されます。

~
幸運を、サバイバー!","Este mod de habilidades foi criado por Zenarchist (www.zenarchist.com)

~
Adiciona 40 perks ao jogo. Esses perks dão pouca vantagem em PvP, mas podem ajudar na sobrevivência.

~
Você ganha experiência jogando normalmente, mas também pode encontrar livros de habilidades e injetores de EXP se o administrador configurar.

~
Algumas ações podem dar mais EXP com base em modificadores, como distância dos animais mortos ou tempo gasto.

~
Existem também penalidades: repetir a mesma ação muitas vezes ou permanecer muito tempo na mesma área reduz a EXP. Isso evita grindar em segurança na base.

~
Se deixar %1 ativado, você será notificado quando novos perks estiverem disponíveis. Reconfigure a tecla do menu de habilidades se houver conflito com outros mods. Verifique regularmente.

~
Quando você morrer, perderá %2 de toda a EXP. Se já tiver usado EXP em perks, alguns serão desativados e o restante devolvido.

~
Boa sorte, sobreviventes!","这个技能模组由 Zenarchist 制作 (www.zenarchist.com)

~
它为游戏添加了40个技能特权。这些特权在PvP中几乎没有优势，但在生存中可能给你额外帮助。

~
你通过正常游戏获得经验，但也可能找到技能书和经验增强注射剂，如果管理员已设置它们刷新。

~
某些行动可能会因修正而获得更多经验，例如击杀动物的距离或完成动作所花的时间。

~
如果你重复同一行为太多次，或长时间停留在同一区域，可能会获得更少经验。这是为了防止玩家在基地刷技能。

~
如果你保持%1开启，你将在有新特权可用时收到通知。如果技能菜单键与其他模组冲突，请重新绑定。记得定期检查。

~
当你死亡时，你将失去%2的总经验。如果你已将经验用于特权，一些会被禁用，剩余经验会返还。

~
祝你好运，幸存者!"
